iter	Passed	Remaining
0	0	61
1	1	56
2	1	53
3	2	48
4	2	48
5	3	47
6	3	46
7	4	46
8	4	45
9	5	45
10	5	44
11	6	44
12	6	43
13	6	42
14	7	42
15	7	41
16	8	41
17	8	40
18	9	40
19	9	39
20	10	39
21	10	38
22	11	38
23	11	37
24	12	36
25	12	36
26	13	35
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	20	28
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	48	0
98	49	0
99	49	0
